source_id,tic_id,ra_gaia,dec_gaia,pmra,pmdec,parallax,rv,rv_unc,teff,teff_unc,logg,logg_unc,met,met_unc,snr,tmag,Mast,Rast
5118675266696794496,139485009,36.0508628933494,-26.084652620652,21.4908270418033,3.04540273126354,3.50601802773163,0.705,2.459,3991.2,120,4.50109,0.21,-0.755363,0.19,21,10.9675793958108,0.475866242829822,0.629120699355956
5116782457429623808,72762991,35.0452594449694,-27.5518525299659,-0.812650354662195,-0.564283719561555,2.34318527553711,-21.511,2.817,5759.17,136,4.72788,0.18,-1.24618,0.19,27,11.2769479870791,0.74934795779154,0.640935127404817
4862258125624503040,166791390,57.83590540231,-33.4917100587966,1.78351790145561,-13.3258490022166,3.92841698472891,-2.784,2.371,6200.5,174,4.56956,0.27,-0.853303,0.2,34,11.3402014163125,0.930866508435104,0.844436035041762
4807419983189371904,167746322,80.9055545226188,-40.0630918370323,-28.4590652133582,58.135761872711,3.76219886215451,110.473,1.248,6253.31,116,4.58473,0.2,-0.619323,0.12,56,10.7935269671658,0.9926647843426,0.853822194045564
6915411372542439296,248855130,315.082206379965,-3.79410013499582,23.8185700234322,-13.6727789090598,4.66129143809041,-50.457,1.663,5557.15,104,4.75781,0.16,-0.70055,0.11,65,10.2604017369645,0.805193516571503,0.635261718186973
2684481248650966400,423533427,320.053618189456,-3.63447217651857,-1.23769282418216,-32.3794892418868,4.35184510555314,-9.592,2.767,5889.5,104,4.75781,0.16,-0.508029,0.11,26,10.7843216546023,0.91814222975643,0.677699941928227
2651368150310572800,310997644,347.369827488051,0.297963085414741,-31.7078789025722,-98.2998955857278,7.85585216373882,-16.211,2.899,4741.62,95,4.38615,0.2,-0.712911,0.1,21,10.6926638074628,0.663270583063927,0.858542448146612
2373999952608798720,92191973,10.0983086730779,-15.2768740090277,-9.8928662393901,-17.4433145553264,3.24779765781317,3.713,1.064,5527.78,104,4.02719,0.16,-0.523185,0.11,48,11.4015779431156,1.00084583109149,1.6053059898009
2375742231862265088,92222889,10.6778090801072,-13.8342799091044,5.2629477528999,4.98870534230155,4.81494289151403,2.085,1.451,5929.07,104,4.02719,0.16,-0.505186,0.11,68,10.2430625023039,1.11556920372699,1.70016852507952
4719046770466070144,231010575,25.893680914571,-57.0881276125593,-10.0686991205557,0.18911550194394,5.94544481014042,29.195,1.396,5098.32,79,4.74285,0.16,-0.727993,0.09,48,11.0885321849197,0.701176659882435,0.599484075723755
4718289069515965952,231068839,32.5010568438404,-57.1799361126762,1.50934728885552,1.95267851657541,1.71488542871936,21.463,3.803,5870.53,190,4.15315,0.28,-0.637943,0.14,19,11.2699733818252,1.0125317163781,1.40191074893682
4714116281152834048,201790132,34.1233394953363,-59.3542597042892,-2.08527335227722,-14.8500420464452,2.66972241531665,-18.316,5.158,6329.04,529,4.35532,0.48,-1.07782,0.4,17,11.3047641599281,0.953711235007788,1.09193868431812
5114321681687606400,156460601,56.5984717138519,-12.5713376687348,-2.25857617743408,-31.4776794726876,2.19082758597893,-9.105,1.421,6151.4,116,4.45524,0.2,-0.559166,0.12,45,11.2690683898364,1.00721928154074,0.991091378880859
5111325821740962176,279452365,58.2475075222388,-13.5300373976314,22.47006391317,-56.2265463433818,6.80478477515441,-46.679,1.187,5102.96,79,4.74285,0.16,-0.616593,0.09,57,11.2698139982103,0.720609245576339,0.606406685003586
6817671970017867136,441032036,324.459787325741,-21.8892566787874,-26.861036161674,-20.6978364467022,5.03888744063437,43.126,0.9,6023.05,174,4.12177,0.27,-0.738855,0.2,64,10.3776341249728,1.03945418997653,1.47777893428016
6830542440815547776,441049463,325.396508845673,-19.113234286464,65.0060174019288,-10.8530760491494,3.35123005915664,-31.262,1.832,6117.94,116,4.56956,0.2,-0.527586,0.12,29,10.6961624353903,0.984860896575883,0.862430285160614
6609854170604717184,12933133,345.433740210829,-26.9403713854648,-26.6414172349644,-30.3194234933661,2.20850295930178,20.974,1.608,5792.77,136,4.75033,0.18,-0.765939,0.19,36,11.4024227543832,0.844103274005449,0.657906156116651
4684876148098344320,266903530,0.706357850834475,-76.6054320567351,-179.811393014784,-115.102033233222,13.0203438374603,36.131,3.108,4191.29,79,4.69037,0.16,-0.523394,0.09,25,10.9792261066016,0.533302664330579,0.541596142252492
4682960798842262400,197909128,58.8217206030213,-57.3772885394999,3.90886724618686,-3.26474233636705,2.68196313295166,0.427,4.531,6160.07,529,4.00344,0.48,-0.81859,0.4,19,10.8000570403781,1.10805412991043,1.75609232749456
4680258783377017344,198009642,60.4670616006566,-59.7890289567211,-11.6868341151087,28.5652804407362,4.86125092593119,11.697,2.689,5046.83,87,4.53918,0.17,-0.823318,0.16,34,10.4763615073401,0.690987369422711,0.743587189672903
